Stock,Trade_Date,direction,Entry_Price,Exit_Price,Exit_Type,Exit_Time,Gap,Gap_ATR,Alpha,ATR_14,Prev_Entropy_Norm,Stop_Loss,Raw_Ret_%,Net_Ret_%,PnL/Share,Is_Win,Trades_Today,Capital_Alloc,Shares,PnL_₹,Direction
ADANIENSOL,2021-09-21,1,1642.9,1642.9,time,2021-09-21 15:00:00,-86.44999999999982,-0.85512417423252,0.85512417423252,101.0964285714286,0.0,1390.1589285714285,0.0,-0.14,0.0,False,1,100000.0,60.0,-140.0,LONG
ADANIENSOL,2021-09-22,1,1700.0,1642.9,gap_fill,2021-09-22 09:20:00,-82.10000000000014,-0.8057200939329163,0.8057200939329163,101.89642857142859,0.0,1445.2589285714284,-3.3588,-3.4988,-57.09999999999991,False,1,100000.0,58.0,-3498.823529411759,LONG
ADANIENSOL,2021-09-23,1,1482.8,1560.8,gap_fill,2021-09-23 11:02:00,-78.0,-0.7223416570200099,0.7223416570200099,107.98214285714288,0.0,1212.8446428571428,5.2603,5.1203,78.0,True,2,50000.0,33.0,2560.1591583490695,LONG
ADANIENSOL,2021-11-30,1,1799.55,1799.5,time,2021-11-30 15:00:00,-92.20000000000005,-0.9186534766208815,0.9186534766208815,100.36428571428571,0.0,1548.6392857142857,-0.0028,-0.1428,-0.049999999999954525,False,1,100000.0,55.0,-142.77847239587422,LONG
ADANIENSOL,2021-12-01,1,1709.6,1799.5,gap_fill,2021-12-01 11:55:00,-89.95000000000005,-0.8863316441441447,0.8863316441441447,101.48571428571428,0.34730332219127485,1455.8857142857141,5.2585,5.1185,89.90000000000009,True,2,50000.0,29.0,2559.27000467946,LONG
ADANIENSOL,2021-12-20,1,1700.4,1730.95,time,2021-12-20 15:00:00,-87.10000000000014,-1.0953514484617128,1.0953514484617128,79.51785714285715,0.2642035547780994,1501.6053571428572,1.7966,1.6566,30.549999999999955,True,2,50000.0,29.0,828.3180428134543,LONG
ADANIENSOL,2022-01-25,1,1934.15,2038.0,gap_fill,2022-01-25 09:50:00,-88.0,-0.9040874733983999,0.9040874733983999,97.33571428571432,0.49319314190975044,1690.8107142857143,5.3693,5.2293,103.84999999999991,True,2,50000.0,25.0,2614.6418323294447,LONG
ADANIENSOL,2022-03-03,-1,2339.0,2353.1,time,2022-03-03 15:00:00,58.90000000000009,0.5237218164496674,-0.5237218164496674,112.46428571428571,0.07449833751787285,2620.160714285714,-0.6028,-0.7428,-14.099999999999909,False,2,50000.0,21.0,-371.410859341597,SHORT
ADANIENSOL,2023-01-30,1,1691.35,1710.05,time,2023-01-30 15:00:00,-239.20000000000005,-1.7264080422734893,1.7264080422734893,138.55357142857142,0.0,1344.9660714285715,1.1056,0.9656,18.700000000000045,True,3,33333.333333333336,19.0,321.8752278751697,LONG
ADANIENSOL,2023-02-03,1,1396.05,1396.05,time,2023-02-03 15:00:00,-155.10000000000014,-0.83574851336528,0.83574851336528,185.58214285714283,0.0,932.0946428571428,0.0,-0.14,0.0,False,3,33333.333333333336,23.0,-46.66666666666667,LONG
ADANIENSOL,2023-02-06,1,1256.45,1256.45,time,2023-02-06 15:00:00,-139.5999999999999,-0.7392949008927217,0.7392949008927217,188.8285714285714,0.0,784.3785714285716,0.0,-0.14,0.0,False,2,50000.0,39.0,-70.0,LONG
ADANIENSOL,2023-02-24,1,712.3,712.3,time,2023-02-24 15:00:00,-37.450000000000045,-0.5422203836806463,0.5422203836806463,69.06785714285711,0.0,539.6303571428572,0.0,-0.14,0.0,False,3,33333.333333333336,46.0,-46.66666666666667,LONG
ADANIENSOL,2023-02-27,1,676.7,676.7,time,2023-02-27 15:00:00,-35.59999999999991,-0.5763182238667888,0.5763182238667888,61.77142857142855,0.0,522.2714285714287,0.0,-0.14,0.0,False,2,50000.0,73.0,-70.0,LONG
ADANIENSOL,2023-02-28,1,642.9,642.9,time,2023-02-28 15:00:00,-33.80000000000007,-0.6107382550335585,0.6107382550335585,55.34285714285712,0.0,504.5428571428572,0.0,-0.14,0.0,False,3,33333.333333333336,51.0,-46.66666666666667,LONG
ADANIENSOL,2023-03-03,-1,744.15,744.15,time,2023-03-03 15:00:00,35.39999999999998,0.7153063433643642,-0.7153063433643642,49.489285714285714,0.0,867.8732142857143,0.0,-0.14,0.0,False,3,33333.333333333336,44.0,-46.66666666666667,SHORT
ADANIENSOL,2023-03-06,-1,781.35,781.35,time,2023-03-06 15:00:00,37.200000000000045,0.7785335226848057,-0.7785335226848057,47.782142857142844,0.0,900.8053571428571,0.0,-0.14,0.0,False,3,33333.333333333336,42.0,-46.66666666666667,SHORT
ADANIENSOL,2023-03-08,-1,816.5,820.4,time,2023-03-08 15:00:00,33.64999999999998,0.7249923053247148,-0.7249923053247148,46.41428571428571,0.0,932.5357142857142,-0.4776,-0.6176,-3.8999999999999773,False,3,33333.333333333336,40.0,-205.88283323127078,SHORT
ADANIENSOL,2023-03-09,-1,861.4,861.4,time,2023-03-09 15:00:00,41.0,0.9035101526837714,-0.9035101526837714,45.378571428571426,0.0,974.8464285714285,0.0,-0.14,0.0,False,3,33333.333333333336,38.0,-46.66666666666667,SHORT
ADANIENSOL,2023-03-13,-1,949.65,949.65,time,2023-03-13 15:00:00,45.19999999999993,1.1501272264631024,-1.1501272264631024,39.300000000000004,0.0,1047.9,0.0,-0.14,0.0,False,3,33333.333333333336,35.0,-46.66666666666667,SHORT
ADANIENSOL,2023-03-14,-1,902.2,949.65,gap_fill,2023-03-14 09:20:00,30.149999999999977,0.7679432366051118,-0.7679432366051118,39.260714285714286,0.0,1000.3517857142858,-5.2594,-5.3994,-47.44999999999993,False,2,50000.0,55.0,-2699.682997118152,SHORT
ADANIENSOL,2023-03-15,1,857.1,902.2,gap_fill,2023-03-15 13:19:00,-45.10000000000002,-1.0819981149858628,1.0819981149858628,41.68214285714286,0.0,752.8946428571429,5.2619,5.1219,45.10000000000002,True,3,33333.333333333336,38.0,1707.309921051609,LONG
